rental_id,rental_date,customer_id,film_id,payment_date,amount,tax
1,24-05-2005 22:53,130,80,24-05-2005 22:53,2.99,1
2,24-05-2005 22:54,459,333,24-05-2005 22:54,2.99,0.5
3,24-05-2005 23:03,408,373,24-05-2005 23:03,3.99,NULL
4,24-05-2005 23:04,333,535,24-05-2005 23:04,4.99,NULL
5,24-05-2005 23:05,222,450,24-05-2005 23:05,6.99,1
6,24-05-2005 23:08,549,613,24-05-2005 23:08,0.99,NULL
7,24-05-2005 23:11,269,870,24-05-2005 23:11,1.99,NULL
8,24-05-2005 23:31,239,510,24-05-2005 23:31,4.99,NULL
9,25-05-2005 00:00,126,565,25-05-2005 00:00,4.99,1
10,25-05-2005 00:02,399,396,25-05-2005 00:02,5.99,NULL
11,25-05-2005 00:09,142,971,25-05-2005 00:09,8.99,NULL
12,25-05-2005 00:19,261,347,25-05-2005 00:19,4.99,NULL
13,25-05-2005 00:22,334,499,25-05-2005 00:22,6.99,NULL
14,25-05-2005 00:31,446,593,25-05-2005 00:31,0.99,1
15,25-05-2005 00:39,319,670,25-05-2005 00:39,9.99,NULL
16,25-05-2005 00:43,316,86,25-05-2005 00:43,4.99,1
17,25-05-2005 01:06,575,181,25-05-2005 01:06,2.99,NULL
18,25-05-2005 01:10,19,741,25-05-2005 01:10,0.99,NULL
19,25-05-2005 01:17,456,422,25-05-2005 01:17,4.99,NULL
20,25-05-2005 01:48,185,770,25-05-2005 01:48,2.99,0.5
21,25-05-2005 01:59,388,31,25-05-2005 01:59,4.99,NULL
22,25-05-2005 02:19,509,159,25-05-2005 02:19,4.99,1
23,25-05-2005 02:40,438,971,25-05-2005 02:40,4.99,NULL
24,25-05-2005 02:53,350,721,25-05-2005 02:53,4.99,1
25,25-05-2005 03:21,37,863,25-05-2005 03:21,0.99,1
26,25-05-2005 03:36,371,953,25-05-2005 03:36,3.99,NULL
27,25-05-2005 03:41,301,271,25-05-2005 03:41,4.99,1
28,25-05-2005 03:42,232,887,25-05-2005 03:42,4.99,NULL
29,25-05-2005 03:47,44,132,25-05-2005 03:47,0.99,1
30,25-05-2005 04:01,430,819,25-05-2005 04:01,2.99,1
31,25-05-2005 04:05,369,979,25-05-2005 04:05,4.99,NULL
32,25-05-2005 04:06,230,839,25-05-2005 04:06,0.99,NULL
33,25-05-2005 04:18,272,367,25-05-2005 04:18,0.99,1
34,25-05-2005 04:19,597,573,25-05-2005 04:19,2.99,NULL
35,25-05-2005 04:24,484,284,25-05-2005 04:24,4.99,1
36,25-05-2005 04:36,88,288,25-05-2005 04:36,2.99,NULL
37,25-05-2005 04:44,535,89,25-05-2005 04:44,0.99,NULL
38,25-05-2005 04:47,302,557,25-05-2005 04:47,4.99,1
39,25-05-2005 04:51,207,976,25-05-2005 04:51,0.99,NULL
